fish,metric,y,baseline,recovery,drug,dose
36,mean_distance_dark_epoch_1,5.078e-05,0,0,1,0.05
36,mean_distance_dark_epoch_2,2.788e-05,0,0,1,0.05
36,mean_distance_dark_epoch_3,4.837e-05,0,0,1,0.05
37,mean_distance_dark_epoch_1,6.609e-05,0,0,1,0.05
37,mean_distance_dark_epoch_2,7.727e-05,0,0,1,0.05
37,mean_distance_dark_epoch_3,7.966e-05,0,0,1,0.05
38,mean_distance_dark_epoch_1,4.161e-05,0,0,1,0.05
38,mean_distance_dark_epoch_2,3.905e-05,0,0,1,0.05
38,mean_distance_dark_epoch_3,4.526e-05,0,0,1,0.05
39,mean_distance_dark_epoch_1,5.664e-05,0,0,1,0.05
39,mean_distance_dark_epoch_2,5.746e-05,0,0,1,0.05
39,mean_distance_dark_epoch_3,6.645e-05,0,0,1,0.05
40,mean_distance_dark_epoch_1,2.591e-05,0,0,1,0.05
40,mean_distance_dark_epoch_2,2.465e-05,0,0,1,0.05
40,mean_distance_dark_epoch_3,2.173e-05,0,0,1,0.05
21,mean_distance_dark_epoch_all,4.897e-05,0,0,1,0.05
22,mean_distance_dark_epoch_all,8.37e-05,0,0,1,0.05
23,mean_distance_dark_epoch_all,2.917e-05,0,0,1,0.05
24,mean_distance_dark_epoch_all,3.127e-05,0,0,1,0.05
25,mean_distance_dark_epoch_all,2.573e-05,0,0,1,0.05
26,mean_distance_dark_epoch_all,2.632e-05,0,0,1,0.05
27,mean_distance_dark_epoch_all,4.295e-05,0,0,1,0.05
28,mean_distance_dark_epoch_all,4.946e-05,0,0,1,0.05
29,mean_distance_dark_epoch_all,4.527e-05,0,0,1,0.05
30,mean_distance_dark_epoch_all,2.665e-05,0,0,1,0.05
31,mean_distance_dark_epoch_all,3.025e-05,0,0,1,0.05
32,mean_distance_dark_epoch_all,3.141e-05,0,0,1,0.05
33,mean_distance_dark_epoch_all,2.612e-05,0,0,1,0.05
34,mean_distance_dark_epoch_all,3.434e-05,0,0,1,0.05
35,mean_distance_dark_epoch_all,4.805e-05,0,0,1,0.05
36,mean_distance_dark_epoch_all,4.234e-05,0,0,1,0.05
37,mean_distance_dark_epoch_all,7.434e-05,0,0,1,0.05
38,mean_distance_dark_epoch_all,4.197e-05,0,0,1,0.05
39,mean_distance_dark_epoch_all,6.018e-05,0,0,1,0.05
40,mean_distance_dark_epoch_all,2.410000000000001e-05,0,0,1,0.05
21,sum_distance_dark_epoch_1,0.43443371,0,0,1,0.05
21,sum_distance_dark_epoch_2,0.44002018,0,0,1,0.05
21,sum_distance_dark_epoch_3,0.38062468,0,0,1,0.05
22,sum_distance_dark_epoch_1,0.85796873,0,0,1,0.05
22,sum_distance_dark_epoch_2,0.68115639,0,0,1,0.05
22,sum_distance_dark_epoch_3,0.60618029,0,0,1,0.05
23,sum_distance_dark_epoch_1,0.25192612,0,0,1,0.05
23,sum_distance_dark_epoch_2,0.27322297,0,0,1,0.05
23,sum_distance_dark_epoch_3,0.22258850000000002,0,0,1,0.05
24,sum_distance_dark_epoch_1,0.28347494,0,0,1,0.05
24,sum_distance_dark_epoch_2,0.23879938,0,0,1,0.05
24,sum_distance_dark_epoch_3,0.27910818,0,0,1,0.05
25,sum_distance_dark_epoch_1,0.19518674,0,0,1,0.05
25,sum_distance_dark_epoch_2,0.21253386,0,0,1,0.05
25,sum_distance_dark_epoch_3,0.25186482,0,0,1,0.05
26,sum_distance_dark_epoch_1,0.23960505,0,0,1,0.05
26,sum_distance_dark_epoch_2,0.23609076,0,0,1,0.05
26,sum_distance_dark_epoch_3,0.19899037,0,0,1,0.05
27,sum_distance_dark_epoch_1,0.35666203,0,0,1,0.05
27,sum_distance_dark_epoch_2,0.33569472,0,0,1,0.05
27,sum_distance_dark_epoch_3,0.40841254,0,0,1,0.05
28,sum_distance_dark_epoch_1,0.5269159000000001,0,0,1,0.05
28,sum_distance_dark_epoch_2,0.45886196,0,0,1,0.05
28,sum_distance_dark_epoch_3,0.28200086,0,0,1,0.05
29,sum_distance_dark_epoch_1,0.37041986,0,0,1,0.05
29,sum_distance_dark_epoch_2,0.40982064,0,0,1,0.05
