fish,metric,y,dose,condition
62,diff_max_speed_light_startle_all,4.865e-05,2.5,recovery
63,diff_max_speed_light_startle_all,-0.01081883,2.5,recovery
64,diff_max_speed_light_startle_all,-0.01136793,2.5,recovery
65,diff_max_speed_light_startle_all,-0.00062976,2.5,recovery
66,diff_max_speed_light_startle_all,-0.0001894,2.5,recovery
67,diff_max_speed_light_startle_all,0.00165731,2.5,recovery
69,diff_max_speed_light_startle_all,0.01806158,2.5,recovery
70,diff_max_speed_light_startle_all,0.00372495,2.5,recovery
71,diff_max_speed_light_startle_all,-0.00090766,2.5,recovery
72,diff_max_speed_light_startle_all,0.00620333,2.5,recovery
